temp,SA SCORE, SA TRAINING TIME
5,2840.572629,0.50192598
6,2929.737876,0.681918012
7,2838.204195,0.350495425
8,2982.398356,0.300417346
9,2782.986067,0.333916785
10,3042.519044,0.289864803
11,2787.839581,0.293438457
12,2691.052808,0.320867567
13,2594.355632,0.375270077
14,2616.843024,0.562863306
15,2809.617566,0.338863343
16,2659.352319,0.346335679
17,2775.718723,0.449523553
18,2696.843072,0.343520592
19,2982.363775,0.286456758
20,2719.55189,0.318964725
21,2718.730737,0.322371182
22,2740.121672,0.276651152
23,2885.963091,0.277091816
24,2732.202645,0.278516409
25,2667.232874,0.277946807
26,2849.788356,0.270748161
27,2840.657931,0.317771914
28,2908.706585,0.317547657
29,2914.554389,0.280991509
30,2889.785749,0.28269634
31,2805.874156,0.276700721
32,2824.35412,0.273517235
33,3028.439901,0.276492016
34,2711.427461,0.30199623
35,2840.513854,0.323831967
36,2692.202159,0.287696706
37,2735.781829,0.269982387
38,3162.114685,0.312185191
39,2758.910449,0.321824086
40,2761.678062,0.312493549
41,2573.990114,0.323083079
42,3008.662154,0.314674147
43,2938.167052,0.279188791
44,3027.517185,0.283409759
45,2929.592766,0.323469993
46,2773.915106,0.321495109
47,2623.61463,0.273432828
48,3091.21543,0.288771324
49,2634.327446,0.277005897
50,2652.642353,0.286085246
51,3074.007615,0.27661704
52,2846.399673,0.253655514
53,2973.724362,0.251496572
54,2880.440368,0.243097722
55,2849.794831,0.232848373
56,2954.993957,0.23947773
57,2779.61534,0.26175097
58,2815.763654,0.250899098
59,2834.093616,0.245322113
60,2784.054266,0.271460082
61,2945.599034,0.36237813
62,2738.481719,0.342858196
63,2963.317921,0.318821704
64,2851.218862,0.258026246
65,2817.842503,0.276816257
66,2789.947784,0.250354218
67,2756.364768,0.263762088
68,2821.887337,0.240767458
69,2468.61445,0.237255052
70,2861.098052,0.241450283
71,2841.781415,0.242899095
72,2965.431448,0.231056066
73,3064.965742,0.26671479
74,2860.788706,0.29087712
75,2821.576775,0.273787598
76,2737.753595,0.265107959
77,3081.207297,0.251663925
78,2984.996042,0.269510544
79,2808.34683,0.242857312
80,2974.378541,0.25840854
81,3324.822706,0.265719554
82,2862.967756,0.257647603
83,2910.570573,0.265458157
84,2830.518901,0.263516587
85,2907.780083,0.238634468
86,2957.150954,0.270553286
87,3026.962789,0.265021217
88,2548.303754,0.254203244
89,2945.500231,0.265744053
90,2752.204027,0.262857004
91,2825.467855,0.2368598
92,2795.156719,0.277485402
93,2712.971061,0.268328744
94,2805.910508,0.263531947
95,2530.79705,0.242425861
96,2969.481227,0.261109972
97,2838.397783,0.2494444
98,2998.932037,0.244954135
99,3009.471413,0.235930611
