COOL RATE,SA SCORE, SA TRAINING TIME,ITER
0.05,3334.872587,0.462592292,5
0.06,3380.845675,0.328155572,6
0.07,3304.572675,0.402334145,7
0.08,3447.182975,0.311245318,8
0.09,3181.520692,0.334632046,9
0.1,3350.57779,0.366952023,10
0.11,3291.314547,0.336412553,11
0.12,3413.781058,0.319239943,12
0.13,3374.627104,0.313738313,13
0.14,3449.541016,0.31227715,14
0.15,3370.377565,0.313861049,15
0.16,3066.943715,0.307767119,16
0.17,3019.472525,0.312437332,17
0.18,3246.70957,0.314938407,18
0.19,3296.908953,0.314007113,19
0.2,3415.661023,0.312296505,20
0.21,3215.505368,0.314040149,21
0.22,3294.08274,0.310136268,22
0.23,3397.20814,0.313797072,23
0.24,3366.811941,0.311763284,24
0.25,3233.138814,0.314231896,25
0.26,3309.882899,0.314569338,26
0.27,3359.313023,0.312916607,27
0.28,3224.838866,0.323603045,28
0.29,3297.15762,0.312757966,29
0.3,3172.849797,0.316802344,30
0.31,3218.735547,0.316415953,31
0.32,3236.895562,0.315639816,32
0.33,3257.134978,0.31018242,33
0.34,3046.290993,0.316009293,34
0.35,3375.321023,0.310882445,35
0.36,3189.632792,0.315105122,36
0.37,3009.819723,0.316166851,37
0.38,3233.540386,0.314625169,38
0.39,3109.407579,0.313332658,39
0.4,3405.215378,0.314669794,40
0.41,3233.056933,0.313397219,41
0.42,3200.800406,0.310854301,42
0.43,3295.498929,0.31121071,43
0.44,3076.862963,0.275885573,44
0.45,3175.063887,0.291451762,45
0.46,3220.220969,0.276271036,46
0.47,3149.047627,0.275041987,47
0.48,3468.348945,0.287256384,48
0.49,3249.734777,0.289725699,49
0.5,3232.403229,0.280359593,50
0.51,3230.887352,0.275203659,51
0.52,3081.85522,0.259231535,52
0.53,3397.638807,0.259640746,53
0.54,3116.769559,0.290608893,54
0.55,3253.93634,0.260559889,55
0.56,3236.510385,0.263736532,56
0.57,3174.546257,0.306027257,57
0.58,3157.467901,0.284246859,58
0.59,3227.986144,0.271435652,59
0.6,3182.719054,0.276200174,60
0.61,3199.873026,0.265944067,61
0.62,3062.254495,0.274888404,62
0.63,3337.660069,0.288951458,63
0.64,2990.14327,0.267825334,64
0.65,3140.356236,0.270283304,65
0.66,3422.084451,0.268203356,66
0.67,3373.529266,0.265153813,67
0.68,3425.62099,0.28253725,68
0.69,3360.747421,0.282268937,69
0.7,3129.508103,0.279829061,70
0.71,3279.323967,0.277515163,71
0.72,3258.156018,0.265987853,72
0.73,3364.508468,0.268444957,73
0.74,3131.781438,0.271021982,74
0.75,3378.041594,0.261759318,75
0.76,3464.742725,0.274684585,76
0.77,3185.000758,0.296457828,77
0.78,3270.766209,0.2576115,78
0.79,3233.25236,0.267377819,79
0.8,3128.215569,0.304262249,80
0.81,3130.449291,0.287861032,81
0.82,3092.227571,0.264580738,82
0.83,3234.822326,0.275294474,83
0.84,3065.797426,0.275776519,84
0.85,2984.123052,0.264772769,85
0.86,3380.185208,0.266664474,86
0.87,3275.638031,0.275748879,87
0.88,3444.751454,0.276153667,88
0.89,3104.251318,0.277141272,89
0.9,3503.229978,0.280017734,90
0.91,3286.67481,0.278361167,91
0.92,3380.695979,0.271616733,92
0.93,3260.149802,0.2561416,93
0.94,3323.732555,0.270063628,94
0.95,3180.14944,0.27038618,95
0.96,3354.752404,0.261843397,96
0.97,3291.537437,0.256403678,97
0.98,3289.902027,0.350195059,98
0.99,3202.014731,0.267956904,99
