TOMATE, GA SCORE, GA TRAINING TIME
26,2108.692106343668,0.188737292
29,2158.1929373915314,0.161968068
32,1590.655546829069,0.163065862
35,2127.3251349835427,0.168335478
38,3356.8150296192057,0.116022532
41,3545.572470937532,0.117724224
44,3462.045257713186,0.151313682
47,3477.5372113025064,0.151957992
50,3548.0828372704814,0.128301725
53,3625.695802155671,0.133701633
56,3616.6129691557653,0.134511672
59,3564.6326938061816,0.140055701
62,3647.1929279904707,0.143813467
65,3563.896870412161,0.147890106
68,3689.431908087479,0.147663993
71,3609.8420070258053,0.150967639
74,3354.0526747749063,0.158793758
77,3717.8661961088164,0.162664769
80,3694.22839997558,0.165751212
83,3746.2656230946955,0.165449932
86,3675.9795481290334,0.169768354
89,3670.715391446554,0.175998347
92,3725.749071054129,0.185593496
95,3659.105243459231,0.179927824
98,3695.8110169902807,0.184756975
101,3698.4038093932522,0.187721218
104,3710.2933208885315,0.190959495
107,3691.6428439061856,0.195498239
110,3733.1303670778907,0.253924749
113,3767.846070031438,0.214350517
116,3738.9726695467502,0.202450699
119,3713.308933493388,0.214046478
122,3808.3475053589164,0.209417436
125,3714.811503008367,0.218269261
128,3757.0521380279756,0.224524655
131,3725.307793447561,0.223060439
134,3754.11578337632,0.23172183
137,3759.313581480709,0.230611621
140,3759.3467428651243,0.279909749
143,3779.3729881206878,0.289093388
146,3746.9824434110983,0.243995004
149,3761.8905008729416,0.24464666
152,3771.8594717931082,0.24974704
155,3743.6367858086564,0.254667174
158,3807.76763019214,0.263966908
161,3757.5857303599782,0.278417971
164,3701.0828658960636,0.290468279
167,3749.959648686425,0.238731716
170,3724.1284747836517,0.289404935
173,3770.012066545139,0.333586998
176,3791.1529817015953,0.310574198
179,3770.6914208237786,0.281823505
182,3713.8052474812025,0.253019683
185,3797.7811766743994,0.247809129
188,3764.8242977750933,0.238026908
191,3802.162358457107,0.246823585
194,3762.9339018152623,0.237951289
197,3803.4188168052547,0.240500972
200,3753.5717931087765,0.254762852
203,3769.8463989393904,0.241598638
206,3766.5768823484004,0.247743658
209,3786.749821027059,0.296603508
212,3801.5072009687137,0.319478041
215,3768.028455012014,0.269949574
218,3731.852629324977,0.33212448
221,3785.6984655305473,0.333246243
224,3766.5515865117827,0.325500582
227,3772.824509127254,0.299765351
230,3823.0487959349707,0.288906062
233,3767.6556437871145,0.27519245
236,3734.9906465665517,0.280272865
239,3808.652803413375,0.281980453
242,3789.586163193788,0.277104223
245,3754.6690832315467,0.283923571
248,3737.2940669139166,0.296163349
251,3780.299861619861,0.286909568
254,3803.766129026819,0.294393643
257,3826.4359295172576,0.286943774
260,3746.927887751429,0.293042672
263,3768.341761941131,0.30031
266,3738.2092928058546,0.318858761
269,3755.777619078798,0.325145317
272,3799.543459967612,0.302299268
275,3783.6503053366373,0.311382346
278,3760.0984967523514,0.31278074
281,3762.9828683995024,0.302525199
284,3761.8730459741405,0.335433853
287,3755.126876196022,0.346394799
290,3786.8598169035126,0.344178366
293,3735.6386448495555,0.345958071
296,3804.697424764031,0.342564542
299,3824.8701088824246,0.335984234
302,3731.537183646314,0.341488756
305,3787.4909663670173,0.370188008
308,3782.31139541001,0.369758936
311,3815.1462072045647,0.350161694
314,3749.382497480643,0.349001373
317,3759.6266653301095,0.366425084
320,3720.3829549340667,0.373868058
323,3768.8220839456294,0.391012328

