TOKEEP, MIMIC SCORE, MIMIC TRAINING TIME
10,4366.993927060285,3.098556675
20,4362.049815695284,2.57518812
30,4337.025668027398,2.731555478
40,4275.804225599105,2.827075696
50,4308.7123547273595,3.163341831
60,4284.382463503135,2.654212986
70,4260.161939392475,3.180692199
80,4388.305804572153,2.819799241
90,4306.274471613727,2.937065334
100,4363.13781831075,3.024412944
110,4355.912808738819,3.191672887
120,4328.992993408721,3.295455161
130,4268.365392778308,3.425562352
140,4360.280636859791,3.889658694
150,4352.333337188768,3.720328398
160,4331.964912356487,4.15677869
170,4290.282325387788,4.029248943
180,4271.116708945479,4.192811266
190,4323.8503145150735,5.111206053
200,4277.076610761415,6.623909019

