TEMPERATURE, SA SCORE, SA TRAINING TIME
1,44.0,0.009984012
2,43.0,0.00357496
3,45.0,0.002419006
4,45.0,0.001770701
5,45.0,0.016755407
6,45.0,0.004019886
7,44.0,0.001668592
8,45.0,0.00201135
9,44.0,0.003360123
10,44.0,0.014650822
11,44.0,0.00365242
12,44.0,0.00181309
13,44.0,0.00114927
14,45.0,0.001391827
15,43.0,0.001821958
16,45.0,0.008811856
17,44.0,0.001423039
18,44.0,0.001302499
19,44.0,0.001810721
20,45.0,0.01523567
21,44.0,0.005710669
22,45.0,0.001137749
23,44.0,0.001163074
24,44.0,0.001169011
25,44.0,0.00137447
26,44.0,0.00181784
27,44.0,0.001069472
28,45.0,0.00124287
29,44.0,0.001124382
30,45.0,0.002342994
31,44.0,7.96826E-4
32,44.0,0.001053892
33,44.0,0.015355406
34,44.0,0.001123541
35,45.0,0.001698392
36,44.0,0.001070074
37,44.0,0.001079695
38,44.0,0.001058818
39,44.0,0.002947243
40,44.0,9.16658E-4
41,44.0,9.1405E-4
42,45.0,6.78576E-4
43,45.0,5.21952E-4
44,44.0,7.44457E-4
45,45.0,5.90226E-4
46,44.0,8.02835E-4
47,44.0,7.3478E-4
48,44.0,8.27724E-4
49,44.0,8.25471E-4
50,44.0,6.69347E-4
51,45.0,7.35071E-4
52,45.0,9.00426E-4
53,43.0,8.23466E-4
54,44.0,7.77374E-4
55,44.0,8.67897E-4
56,45.0,8.31315E-4
57,44.0,0.012740743
58,44.0,8.32546E-4
59,44.0,8.17529E-4
60,44.0,8.48109E-4
61,44.0,9.80068E-4
62,45.0,8.00127E-4
63,43.0,8.48387E-4
64,44.0,8.06896E-4
65,45.0,4.84078E-4
66,43.0,4.82789E-4
67,44.0,4.13952E-4
68,44.0,4.73775E-4
69,44.0,4.01294E-4
70,45.0,4.51599E-4
71,44.0,5.12534E-4
72,43.0,5.39753E-4
73,45.0,4.84553E-4
74,43.0,4.45892E-4
75,45.0,4.14789E-4
76,44.0,4.32216E-4
77,45.0,4.41992E-4
78,45.0,4.17858E-4
79,44.0,4.09781E-4
80,45.0,3.99523E-4
81,44.0,4.21414E-4
82,44.0,4.20406E-4
83,45.0,4.08841E-4
84,44.0,7.26097E-4
85,45.0,4.47676E-4
86,44.0,4.11859E-4
87,44.0,4.12502E-4
88,45.0,4.03637E-4
89,43.0,4.01865E-4
90,44.0,9.75951E-4
91,44.0,4.26771E-4
92,44.0,4.1852E-4
93,43.0,4.1959E-4
94,44.0,4.10809E-4
95,45.0,4.33891E-4
96,43.0,4.24587E-4
97,43.0,4.32902E-4
98,44.0,4.19547E-4
99,45.0,4.3688E-4
100,45.0,4.3608E-4
101,43.0,4.34788E-4
102,45.0,4.1532E-4
103,44.0,4.20081E-4
104,44.0,4.36919E-4
105,44.0,4.4781E-4
106,44.0,3.12792E-4
107,45.0,4.29504E-4
108,45.0,4.20544E-4
109,43.0,4.11969E-4
110,44.0,4.08944E-4
111,44.0,4.84204E-4
112,44.0,5.39284E-4
113,44.0,4.06578E-4
114,43.0,4.04296E-4
115,44.0,3.96954E-4
116,45.0,3.97095E-4
117,44.0,4.14034E-4
118,45.0,4.04857E-4
119,44.0,4.07012E-4
120,44.0,3.99624E-4
121,44.0,4.11396E-4
122,45.0,3.83437E-4
123,44.0,4.09355E-4
124,44.0,4.04933E-4
125,43.0,4.80208E-4
126,45.0,4.0182E-4
127,45.0,3.99809E-4
128,43.0,0.001964835
129,45.0,4.15954E-4
130,44.0,3.94322E-4
131,44.0,3.07321E-4
132,44.0,4.00827E-4
133,44.0,3.89973E-4
134,45.0,4.13974E-4
135,44.0,5.10865E-4
136,43.0,4.61281E-4
137,44.0,4.10028E-4
138,44.0,4.0244E-4
139,44.0,4.60857E-4
140,44.0,3.81845E-4
141,43.0,3.83737E-4
142,43.0,3.94768E-4
143,44.0,4.07855E-4
144,44.0,3.82428E-4
145,45.0,3.75561E-4
146,44.0,4.01733E-4
147,44.0,4.1576E-4
148,44.0,5.96991E-4
149,44.0,4.79003E-4
150,45.0,3.85726E-4
151,44.0,3.81467E-4
152,44.0,3.84445E-4
153,44.0,3.82781E-4
154,44.0,3.98293E-4
155,43.0,4.00336E-4
156,44.0,3.91612E-4
157,44.0,2.43501E-4
158,44.0,2.40204E-4
159,44.0,2.37674E-4
160,43.0,4.06361E-4
161,45.0,3.97416E-4
162,44.0,3.94523E-4
163,44.0,4.11623E-4
164,45.0,4.1454E-4
165,44.0,3.21504E-4
166,45.0,3.77507E-4
167,44.0,3.77363E-4
168,44.0,0.00167926
169,45.0,4.09056E-4
170,44.0,3.76785E-4
171,44.0,3.83357E-4
172,43.0,3.46393E-4
173,44.0,3.84663E-4
174,44.0,3.96921E-4
175,44.0,3.91794E-4
176,45.0,4.00462E-4
177,44.0,3.33848E-4
178,44.0,2.72E-4
179,44.0,4.17595E-4
180,44.0,4.09888E-4
181,44.0,3.97498E-4
182,44.0,3.9415E-4
183,44.0,4.01882E-4
184,44.0,3.95063E-4
185,44.0,3.86169E-4
186,44.0,3.81483E-4
187,45.0,3.6076E-4
188,45.0,3.75704E-4
189,44.0,3.85651E-4
190,44.0,3.54618E-4
191,44.0,3.68138E-4
192,44.0,6.11113E-4
193,44.0,4.47484E-4
194,44.0,0.001135094
195,45.0,4.39247E-4
196,44.0,4.61086E-4
197,44.0,4.62614E-4
198,45.0,6.46427E-4
199,44.0,4.42755E-4
200,44.0,0.005049986
