COOLING RATE, SA SCORE, SA TRAINING TIME
0.0,45.0,0.013086391
0.01,44.0,0.003820101
0.02,45.0,0.002659068
0.03,44.0,0.004453461
0.04,44.0,0.002278191
0.05,44.0,0.001618235
0.06,44.0,0.005232609
0.07,44.0,0.004736871
0.08,44.0,0.005081068
0.09,44.0,0.003466819
0.1,44.0,0.003477808
0.11,44.0,0.002122973
0.12,44.0,0.001550854
0.13,44.0,0.001964048
0.14,43.0,0.001526846
0.15,44.0,0.001581314
0.16,44.0,0.002154941
0.17,44.0,0.004981522
0.18,44.0,0.002175087
0.19,44.0,0.002332218
0.2,44.0,0.003046229
0.21,44.0,0.003413114
0.22,43.0,0.001906128
0.23,44.0,0.003610763
0.24,44.0,0.001130742
0.25,45.0,0.003283615
0.26,45.0,0.001799363
0.27,45.0,0.001217381
0.28,44.0,0.001059636
0.29,44.0,0.001083306
0.3,45.0,0.001062549
0.31,45.0,6.08559E-4
0.32,44.0,4.80667E-4
0.33,44.0,5.93801E-4
0.34,44.0,5.11464E-4
0.35,44.0,5.33342E-4
0.36,44.0,5.12742E-4
0.37,44.0,5.078E-4
0.38,45.0,5.07751E-4
0.39,44.0,4.81528E-4
0.4,44.0,5.02497E-4
0.41,45.0,5.02584E-4
0.42,44.0,5.07539E-4
0.43,44.0,5.43266E-4
0.44,45.0,5.72142E-4
0.45,45.0,5.52901E-4
0.46,44.0,5.84248E-4
0.47,45.0,5.14453E-4
0.48,44.0,5.38237E-4
0.49,44.0,5.37026E-4
0.5,44.0,4.94885E-4
0.51,44.0,0.003708176
0.52,44.0,5.17222E-4
0.53,45.0,5.03792E-4
0.54,44.0,5.14221E-4
0.55,44.0,7.70906E-4
0.56,44.0,0.002915749
0.57,44.0,4.17449E-4
0.58,44.0,4.24343E-4
0.59,44.0,5.00619E-4
0.6,44.0,5.26585E-4
0.61,44.0,4.92154E-4
0.62,44.0,4.16814E-4
0.63,44.0,3.89454E-4
0.64,45.0,4.67544E-4
0.65,45.0,6.19075E-4
0.66,44.0,4.74763E-4
0.67,44.0,4.29773E-4
0.68,44.0,4.13046E-4
0.69,43.0,4.18657E-4
0.7,44.0,3.95037E-4
0.71,44.0,4.72972E-4
0.72,44.0,4.28318E-4
0.73,44.0,4.18841E-4
0.74,43.0,3.84443E-4
0.75,44.0,8.30866E-4
0.76,44.0,4.1647E-4
0.77,44.0,3.92131E-4
0.78,44.0,3.69167E-4
0.79,44.0,6.98069E-4
0.8,44.0,4.80165E-4
0.81,44.0,4.70926E-4
0.82,44.0,4.50927E-4
0.83,45.0,4.47511E-4
0.84,43.0,4.45068E-4
0.85,44.0,4.38832E-4
0.86,44.0,4.31914E-4
0.87,43.0,4.37999E-4
0.88,44.0,0.006707926
0.89,43.0,3.84212E-4
0.9,44.0,4.00003E-4
0.91,43.0,3.98763E-4
0.92,45.0,3.99898E-4
0.93,44.0,3.87579E-4
0.94,44.0,3.47541E-4
0.95,41.0,3.48199E-4
0.96,40.0,3.51724E-4
0.97,36.0,3.54187E-4
0.98,41.0,3.66816E-4
0.99,41.0,3.71566E-4
