POPULATION, GA SCORE, GA TRAINING TIME
100,40.0,0.032517139
101,40.0,0.030715146
102,41.0,0.030032143
103,39.0,0.024951843
104,31.0,0.014372506
105,37.0,0.029683624
106,40.0,0.057220203
107,37.0,0.014377066
108,39.0,0.009243407
109,41.0,0.005921259
110,34.0,0.007774267
111,41.0,0.007468036
112,38.0,0.007190231
113,38.0,0.012102435
114,38.0,0.012625167
115,40.0,0.005534375
116,32.0,0.007094868
117,44.0,0.007757472
118,39.0,0.00654627
119,35.0,0.005521069
120,34.0,0.005711582
121,40.0,0.00789974
122,41.0,0.005695287
123,42.0,0.006035373
124,38.0,0.005864942
125,36.0,0.009871926
126,35.0,0.004913694
127,37.0,0.007402249
128,38.0,0.005887469
129,42.0,0.009198432
130,32.0,0.011301223
131,39.0,0.012969822
132,39.0,0.011593478
133,42.0,0.01142741
134,40.0,0.012268169
135,40.0,0.007770078
136,41.0,0.009896575
137,37.0,0.01481981
138,43.0,0.00838974
139,39.0,0.01509072
140,38.0,0.006889565
141,38.0,0.007667515
142,41.0,0.008590942
143,39.0,0.009718914
144,41.0,0.008793594
145,41.0,0.008010014
146,39.0,0.006699669
147,40.0,0.008340449
148,42.0,0.006542931
149,39.0,0.006483274
150,42.0,0.006951268
151,42.0,0.00688416
152,41.0,0.006737072
153,38.0,0.006857669
154,37.0,0.007832995
155,40.0,0.007201913
156,39.0,0.010838802
157,41.0,0.010204704
158,37.0,0.007160119
159,39.0,0.006946187
160,36.0,0.009715605
161,36.0,0.009989546
162,42.0,0.009193567
163,39.0,0.034135219
164,38.0,0.028831683
165,37.0,0.020024544
166,40.0,0.017992689
167,42.0,0.010284182
168,40.0,0.012691161
169,35.0,0.010357598
170,38.0,0.011254438
171,36.0,0.02114648
172,42.0,0.007681088
173,39.0,0.007499669
174,41.0,0.007698386
175,41.0,0.007926591
176,38.0,0.007611659
177,39.0,0.009225708
178,39.0,0.00707528
179,41.0,0.007761601
180,39.0,0.007728922
181,40.0,0.008122056
182,39.0,0.0081864
183,42.0,0.008443855
184,35.0,0.008407373
185,40.0,0.009280949
186,42.0,0.009177285
187,37.0,0.009624386
188,38.0,0.009247547
189,40.0,0.009115935
190,39.0,0.008110107
191,30.0,0.007962793
192,41.0,0.00869964
193,41.0,0.009177724
194,40.0,0.007984372
195,37.0,0.006804264
196,35.0,0.007398892
197,38.0,0.007323331
198,40.0,0.007232063
199,37.0,0.007351614
200,36.0,0.007135301
201,41.0,0.007441876
202,40.0,0.007880954
203,36.0,0.009383886
204,41.0,0.008656445
205,32.0,0.007901861
206,36.0,0.008893998
207,38.0,0.009573632
208,38.0,0.00914859
209,34.0,0.013353577
210,39.0,0.010874959
211,29.0,0.006504875
212,37.0,0.009975849
213,42.0,0.012055282
214,43.0,0.011972805
215,36.0,0.014713143
216,41.0,0.018774071
217,41.0,0.021052707
218,39.0,0.070930933
219,38.0,0.09358549
220,41.0,0.028769252
221,41.0,0.018085542
222,44.0,0.013233924
223,40.0,0.013104145
224,38.0,0.040657203
225,38.0,0.049383422
226,43.0,0.022584805
227,39.0,0.009059293
228,39.0,0.024384183
229,42.0,0.01930375
230,40.0,0.008908708
231,40.0,0.01375862
232,44.0,0.018131546
233,42.0,0.016588206
234,39.0,0.007719931
235,39.0,0.00862171
236,40.0,0.007646506
237,37.0,0.00650517
238,37.0,0.011768804
239,36.0,0.006841239
240,41.0,0.005927428
241,42.0,0.006021521
242,39.0,0.005948217
243,38.0,0.005944989
244,41.0,0.006825576
245,40.0,0.006461972
246,41.0,0.007284038
247,37.0,0.007313354
248,39.0,0.00616178
249,41.0,0.006570684
250,31.0,0.006942059
251,38.0,0.008349545
252,39.0,0.006810749
253,37.0,0.007634989
254,39.0,0.007793316
255,41.0,0.008291604
256,35.0,0.008141632
257,42.0,0.008014396
258,41.0,0.007721983
259,39.0,0.008538971
260,38.0,0.008306577
261,41.0,0.008129423
262,39.0,0.008533982
263,41.0,0.007883051
264,38.0,0.008366885
265,42.0,0.009949486
266,38.0,0.008192862
267,41.0,0.009509342
268,40.0,0.009602668
269,38.0,0.008636203
270,33.0,0.009044255
271,36.0,0.008176077
272,43.0,0.008262976
273,40.0,0.00888832
274,38.0,0.00819428
275,42.0,0.008224075
276,38.0,0.007650308
277,35.0,0.006829125
278,39.0,0.008330584
279,41.0,0.008655065
280,34.0,0.007981054
281,39.0,0.00910244
282,40.0,0.00855704
283,38.0,0.008763686
284,35.0,0.008143711
285,42.0,0.008286383
286,41.0,0.011048762
287,35.0,0.01163635
288,32.0,0.008375767
289,34.0,0.008896558
290,36.0,0.008428704
291,41.0,0.008944301
292,36.0,0.017430956
293,36.0,0.007777237
294,37.0,0.012530765
295,40.0,0.009048884
296,38.0,0.008865766
297,37.0,0.009427632
298,41.0,0.005701698
299,41.0,0.006078278
