RHC SCORE, RHC TRAINING TIME, SA SCORE, SA TRAINING TIME, GA SCORE, GA TRAINING TIME, MIMIC SCORE, MIMIC TRAINING TIME
44.0,0.009957892,45.0,0.004852264,42.0,0.15391689,43.0,0.043807569
44.0,6.11166E-4,45.0,8.22605E-4,41.0,0.122932971,43.0,0.019356455
44.0,3.90479E-4,45.0,4.57168E-4,41.0,0.078262035,43.0,0.014064875
43.0,3.79242E-4,45.0,9.36227E-4,41.0,0.069943019,43.0,0.018996619
44.0,6.18414E-4,43.0,5.38259E-4,42.0,0.103314186,43.0,0.023259349
44.0,3.30162E-4,43.0,6.30432E-4,42.0,0.081882861,43.0,0.019094447
43.0,3.45417E-4,44.0,5.06485E-4,41.0,0.072971488,43.0,0.014340935
44.0,3.27866E-4,44.0,3.73285E-4,43.0,0.07844981,43.0,0.019333813
43.0,3.22891E-4,45.0,3.97527E-4,42.0,0.080033945,43.0,0.025002177
44.0,3.27588E-4,45.0,3.72174E-4,42.0,0.094826248,42.0,0.121741
44.0,4.74358E-4,45.0,7.04322E-4,42.0,0.098000261,44.0,0.015795619
44.0,0.007928952,44.0,4.82502E-4,42.0,0.148098879,42.0,0.010653352
44.0,3.32825E-4,45.0,3.66378E-4,41.0,0.064208484,43.0,0.010557637
44.0,3.20714E-4,44.0,3.74826E-4,41.0,0.055140497,44.0,0.006668857
44.0,4.61891E-4,44.0,4.30402E-4,42.0,0.066424114,42.0,0.017787859
44.0,3.20646E-4,44.0,8.32514E-4,42.0,0.15830944,43.0,0.010582811
44.0,3.24274E-4,45.0,4.23023E-4,42.0,0.07998988,42.0,0.007991683
44.0,2.83096E-4,43.0,3.46369E-4,41.0,0.06444975,43.0,0.015718083
43.0,4.26626E-4,45.0,6.98106E-4,42.0,0.055281801,43.0,0.012730027
44.0,3.27781E-4,44.0,4.25517E-4,43.0,0.062993792,42.0,0.010241046
44.0,2.75901E-4,44.0,3.88061E-4,41.0,0.057088526,44.0,0.009672923
44.0,3.43322E-4,44.0,3.7681E-4,41.0,0.115027293,43.0,0.014777131
44.0,4.8681E-4,45.0,6.20057E-4,40.0,0.093635038,44.0,0.02324106
44.0,0.001036453,44.0,0.002936991,42.0,0.094185544,42.0,0.013447199
44.0,4.34262E-4,44.0,4.61212E-4,41.0,0.154360805,42.0,0.028904928
44.0,4.23071E-4,44.0,4.61119E-4,42.0,0.073723207,44.0,0.017878054
44.0,5.03123E-4,45.0,5.97568E-4,41.0,0.09533717,43.0,0.01173124
44.0,3.72697E-4,44.0,2.33707E-4,43.0,0.055291792,42.0,0.014120905
45.0,1.86681E-4,44.0,2.27874E-4,41.0,0.057701571,44.0,0.012069234
43.0,2.1475E-4,44.0,4.17229E-4,41.0,0.070209486,43.0,0.012442213
44.0,0.001921658,43.0,0.001108188,41.0,0.100278954,43.0,0.022632008
44.0,5.98409E-4,44.0,5.79364E-4,41.0,0.098348697,42.0,0.021099231
43.0,2.84685E-4,43.0,3.55253E-4,42.0,0.046099408,43.0,0.007470197
44.0,1.89144E-4,44.0,3.29148E-4,43.0,0.042905234,43.0,0.006703151
44.0,5.96248E-4,44.0,8.1175E-4,42.0,0.054754214,42.0,0.01308849
44.0,3.42532E-4,44.0,8.96783E-4,42.0,0.05149753,43.0,0.009093364
43.0,2.89129E-4,44.0,3.06946E-4,41.0,0.055904365,43.0,0.013530105
44.0,4.21896E-4,45.0,6.22643E-4,41.0,0.056107406,42.0,0.008996883
44.0,2.45034E-4,44.0,3.18374E-4,41.0,0.052884795,43.0,0.009848353
44.0,2.52783E-4,43.0,2.76695E-4,42.0,0.055837999,42.0,0.00870124
45.0,3.84744E-4,44.0,4.27169E-4,42.0,0.056076165,43.0,0.009338175
45.0,2.00563E-4,44.0,6.01254E-4,42.0,0.05360408,43.0,0.008544759
44.0,2.16753E-4,44.0,3.46531E-4,43.0,0.059353774,43.0,0.008113228
44.0,2.6112E-4,44.0,3.26317E-4,41.0,0.044702011,43.0,0.0089666
44.0,2.06794E-4,44.0,2.99892E-4,42.0,0.050176915,43.0,0.011180151
44.0,3.68043E-4,44.0,3.9797E-4,41.0,0.065744546,43.0,0.011085051
43.0,3.19701E-4,43.0,3.91472E-4,41.0,0.065982282,44.0,0.011625301
43.0,3.56021E-4,44.0,4.45438E-4,41.0,0.083549109,43.0,0.008768467
44.0,2.59125E-4,45.0,3.75215E-4,41.0,0.101305701,43.0,0.022313091
44.0,2.73467E-4,44.0,3.37019E-4,42.0,0.057953464,43.0,0.007723441
44.0,3.0318E-4,45.0,3.1067E-4,42.0,0.058238998,42.0,0.008280676
44.0,1.63985E-4,44.0,3.32425E-4,41.0,0.045194866,43.0,0.007393117
44.0,2.1637E-4,44.0,2.81374E-4,41.0,0.044459557,43.0,0.008285947
45.0,2.85954E-4,44.0,3.22896E-4,42.0,0.045107691,44.0,0.007911356
45.0,3.07949E-4,45.0,3.38135E-4,42.0,0.050429258,43.0,0.008627307
44.0,2.43064E-4,45.0,3.54053E-4,42.0,0.049347144,44.0,0.008279126
44.0,1.62272E-4,44.0,4.50086E-4,41.0,0.046914181,43.0,0.007634106
44.0,6.59204E-4,43.0,3.4269E-4,41.0,0.052363633,44.0,0.007623714
44.0,2.79919E-4,44.0,2.44919E-4,42.0,0.051475104,43.0,0.00791316
44.0,2.01344E-4,44.0,3.5571E-4,41.0,0.051314102,43.0,0.009138528
43.0,2.97842E-4,43.0,3.46674E-4,42.0,0.053360812,43.0,0.007223623
44.0,2.26111E-4,44.0,2.51719E-4,41.0,0.044504916,42.0,0.007714771
44.0,2.3651E-4,44.0,2.88001E-4,41.0,0.049566157,43.0,0.007178046
43.0,2.22683E-4,45.0,2.69534E-4,41.0,0.048134225,43.0,0.00718182
44.0,2.4186E-4,44.0,2.94261E-4,42.0,0.046096547,42.0,0.007165276
44.0,2.97124E-4,44.0,2.9492E-4,44.0,0.047294238,42.0,0.007876373
43.0,1.59889E-4,44.0,2.36511E-4,41.0,0.0472608,43.0,0.007962689
44.0,2.23418E-4,44.0,2.2139E-4,41.0,0.054524367,43.0,0.010827652
44.0,3.00267E-4,44.0,2.52378E-4,41.0,0.058865226,42.0,0.009783044
