TOKEEP, MIMIC SCORE, MIMIC TRAINING TIME
10,0.11880891938898669,26.41740141
20,0.10445241562840758,23.143269175
30,0.10315296432609476,23.076459249
40,0.08648148586535231,22.815571526
50,0.08380114694063519,23.107706057
60,0.09163382433754601,24.687603804
70,0.0928292843626985,23.407845569
80,0.10374270139070839,24.410886668
90,0.09383185024818518,25.744509814
100,0.09633444822336881,30.421289529
110,0.09888107378957571,24.9784921
120,0.10613094948006713,27.596746079
130,0.09486942161273572,25.648109532
140,0.08242661882326957,25.9349105
150,0.09137860792062187,26.343062897
160,0.08449832568020063,25.619318467
170,0.07709489209601135,29.086755083
180,0.0821357552986607,27.961777898
190,0.07008414899714305,24.38512864
200,0.07323542836232927,25.634320697
