POPULATION, GA SCORE, GA TRAINING TIME
151,3990.601446,0.274359428
153,4215.747186,0.225897708
155,4110.07705,0.216456046
157,4185.744859,0.165138519
159,4180.006863,0.259804179
161,4135.831975,0.168962249
163,4058.457589,0.185638494
165,4210.615321,0.167398951
167,4126.838535,0.163537042
169,4100.988389,0.153323127
171,4225.364121,0.164739267
173,4138.009165,0.161542649
175,4231.243006,0.175114983
177,4185.459057,0.169240648
179,4135.578613,0.162382028
181,4122.400433,0.167122724
183,4152.990235,0.167787698
185,4235.588892,0.183580934
187,4283.163762,0.173795975
189,4167.677643,0.159476845
191,4279.333099,0.162225672
193,4102.177233,0.166767247
195,4117.011357,0.172330604
197,4179.333517,0.170351394
199,4380.905588,0.171884605
201,4220.822337,0.151360909
203,4071.738586,0.168128589
205,4235.901359,0.16142429
207,4208.66658,0.200782666
209,4151.497976,0.198917476
211,4260.6364,0.190491194
213,4166.419707,0.16587827
215,4194.06402,0.173959541
217,4250.36733,0.171535912
219,4269.296769,0.163978304
221,4211.870816,0.186836082
223,4248.774455,0.182272759
225,4200.424037,0.158791943
227,4171.42944,0.165372631
229,4175.43234,0.180511788
231,4264.491608,0.18632471
233,4220.549483,0.168374565
235,4240.306364,0.165548003
237,4262.66614,0.175151022
239,4236.729268,0.174035763
241,4260.445964,0.192587413
243,4222.758825,0.180700751
245,4274.900616,0.183422328
247,4172.371078,0.180403606
249,4217.837832,0.171299214
251,4303.917209,0.190292352
253,4146.99687,0.186851198
255,4172.335152,0.166326125
257,4274.94031,0.182034359
259,4323.502391,0.179255575
261,4352.545979,0.204631752
263,4271.852547,0.17271536
265,4223.043363,0.193507174
267,4305.525042,0.176985815
269,4347.417998,0.224241118
271,4262.758024,0.173284274
273,4273.201009,0.202962933
275,4292.183585,0.17483684
277,4199.877929,0.194185315
279,4275.216643,0.20098132
281,4307.273868,0.180412176
283,4340.849979,0.191395267
285,4285.232325,0.186671963
287,4327.99969,0.175781971
289,4260.058758,0.190357602
291,4355.843783,0.183665003
293,4210.928428,0.180067603
295,4421.638928,0.177578309
297,4265.901337,0.201771518
299,4323.879446,0.195189976
301,4230.570114,0.18286195
303,4221.233516,0.194505427
305,4278.728214,0.206152616
307,4212.566559,0.186407964
309,4253.872202,0.18733958
311,4244.169606,0.180825015
313,4383.515862,0.184669083
315,4324.298654,0.196391341
317,4323.502417,0.210929191
319,4244.578672,0.198532421
321,4241.790234,0.196057979
323,4296.371967,0.188416882
325,4336.377128,0.189106774
327,4320.337412,0.20232661
329,4214.243429,0.199339952
331,4251.32513,0.216995634
333,4400.611583,0.192554328
335,4267.182143,0.197212066
337,4194.179384,0.196831797
339,4264.864261,0.201660476
341,4251.711068,0.194514498
343,4355.702261,0.194848512
345,4386.26295,0.190776026
347,4284.831739,0.195636384
349,4432.967903,0.210250668
351,4348.320429,0.198009026
353,4353.420183,0.191229825
355,4235.856518,0.195109389
357,4296.732335,0.206869342
359,4331.807202,0.202300857
361,4324.205338,0.198799293
363,4346.461652,0.198637858
365,4330.945779,0.194794478
367,4304.013874,0.190462212
369,4262.480932,0.194500861
371,4343.505946,0.211832399
373,4314.613236,0.180318776
375,4353.458865,0.216291689
377,4299.549207,0.196231227
379,4386.470224,0.209431993
381,4295.207506,0.230192
383,4324.404186,0.19579167
385,4352.573516,0.207982495
387,4317.212198,0.215760818
389,4285.561351,0.220047453
391,4392.368231,0.202359104
393,4294.108184,0.191554045
395,4294.108184,0.220064006
397,4287.671887,0.214315981
399,4404.597368,0.2244646
401,4385.602984,0.213047311
403,4258.044825,0.218801213
405,4283.76254,0.196807955
407,4392.552906,0.199620464
409,4344.408459,0.208110678
411,4353.235871,0.211202606
413,4269.97779,0.236987363
415,4359.006882,0.214390531
417,4253.540582,0.223091734
419,4331.564482,0.213492948
421,4295.807,0.211286801
423,4363.832278,0.203092826
425,4353.356366,0.21777996
427,4387.19753,0.297872596
429,4350.050262,0.228100059
431,4373.619421,0.252968494
433,4395.241143,0.223112373
435,4380.924199,0.218860781
437,4429.649432,0.21684756
439,4325.940379,0.224743573
441,4377.23846,0.22850311
443,4175.507205,0.220324917
445,4302.324491,0.232070602
447,4335.610318,0.226537021
449,4408.038638,0.225993022
451,4278.092095,0.22768674
453,4295.363625,0.227568266
455,4304.352436,0.221661322
457,4349.684152,0.219169686
459,4401.029148,0.240151867
461,4339.447593,0.266009603
463,4374.701329,0.24415662
465,4360.792011,0.233644047
467,4384.668509,0.221747157
469,4362.027355,0.235186124
471,4364.067313,0.220241754
473,4298.743702,0.226474849
475,4283.958451,0.232818518
477,4352.08829,0.225931944
479,4372.420577,0.233614425
481,4372.60713,0.215306813
483,4406.402603,0.222990956
485,4382.139109,0.225931905
487,4370.644248,0.239042795
489,4300.597553,0.225462249
491,4327.603716,0.229781662
493,4407.791073,0.226417954
495,4330.675023,0.207138646
497,4380.290929,0.223264431
499,4356.086469,0.227451448
501,4311.540391,0.222808814
503,4340.174245,0.251239058
505,4366.804084,0.247852934
507,4355.399233,0.24290905
509,4358.189365,0.22540528
511,4377.891052,0.238872615
513,4349.282311,0.227686793
515,4400.565426,0.242631609
517,4363.048176,0.227007418
519,4337.106701,0.225131921
521,4304.155833,0.226922565
523,4354.433621,0.24421184
525,4378.211373,0.253867577
527,4338.711609,0.227489545
529,4394.426265,0.438094421
531,4354.530838,0.327119275
533,4429.990839,0.227096631
535,4370.864727,0.22608543
537,4326.562895,0.238758027
539,4387.695973,0.235272728
541,4371.297363,0.266129208
543,4397.311433,0.224929644
545,4313.619642,0.221568669
547,4334.902809,0.235910982
549,4302.044407,0.220216739
