TOMUTATE, GA SCORE, GA TRAINING TIME
1,4307.414849043838,0.45178816
2,4300.967732095318,0.353238959
3,4276.483800382286,0.306401338
4,4366.506362931896,0.328687539
5,4349.265673124101,0.253306675
6,4252.687338472397,0.253245734
7,4343.19955883744,0.247246976
8,4353.195922095891,0.326242495
9,4358.606944100795,0.338729808
10,4357.630520946665,0.366237802
11,4321.852019821772,0.297512773
12,4298.215967563823,0.255077326
13,4310.168124470292,0.255875013
14,4358.957356788956,0.251239675
15,4357.821234198229,0.257222049
16,4341.669126250483,0.264419653
17,4304.004691990105,0.265930827
18,4304.753458931732,0.255684459
19,4276.729265686635,0.255600329
20,4324.53037034302,0.259284152
21,4293.198682033116,0.304510287
22,4227.7881601476665,0.304913232
23,4315.740037131148,0.247713294
24,4310.690131425567,0.249422382
25,4308.792031371965,0.250999413
26,4275.957810910656,0.250149373
27,4290.615514389306,0.245592699
28,4299.6144493562915,0.248657297
29,4360.0269221014905,0.247569277
30,4307.18625388859,0.249524774
31,4279.7403752053215,0.250496503
32,4293.215437227004,0.252095419
33,4334.3696965357285,0.245484773
34,4327.260293150233,0.256450434
35,4243.07299536067,0.253059575
36,4281.437730513123,0.252324294
37,4199.599663961243,0.242698288
38,4308.756370862909,0.253851959
39,4281.379297365336,0.249631662
40,4300.874296440326,0.253885822
41,4144.787479902895,0.260416299
42,4251.152043915807,0.296522157
43,4266.1543970941175,0.251774957
44,4277.064520564377,0.277408426
45,4224.653871641436,0.312083871
46,4230.908846437114,0.281303589
47,4189.030906100838,0.25411458
48,4228.359007749175,0.255086227
49,4202.970016196415,0.253619598
50,4226.450875405025,0.253089729
51,3985.2885261865404,0.256857603
52,4227.937244422728,0.253694568
53,4204.833773516997,0.236949597
54,4222.094547068378,0.239463797
55,4207.693439895954,0.241490249
56,4239.524699872901,0.2173471
57,4232.622954172829,0.192895994
58,4125.472515419791,0.186354127
59,4125.768198491941,0.20884108
60,4149.213666575236,0.216702769
61,4247.216019580928,0.201049175
62,4165.709651671346,0.219118429
63,4193.62031298318,0.213461273
64,4159.962622988539,0.206062785
65,4135.372840213178,0.199688673
66,3978.2496399561123,0.2026639
67,3862.4113421018014,0.214507492
68,4121.323437010858,0.210919361
69,4046.8442401906414,0.19438336
70,4146.528006073383,0.197579674
71,4174.206853327309,0.206529016
72,4006.6724415766867,0.267347786
73,3954.92458024258,0.209770879
74,4078.599845402023,0.201893111
75,3977.507967390551,0.196467135
76,4137.603487813188,0.228300771
77,4061.7644762431814,0.20654335
78,4123.2449703107295,0.218482355
79,4117.255425834252,0.20192108
80,4051.458414201193,0.20788534
81,4120.1326758535915,0.21007219
82,4205.667855037855,0.220477702
83,4149.708663260775,0.221568619
84,4088.6695075595085,0.205984619
85,4183.934192358778,0.217307297
86,4123.08698967275,0.236411553
87,4000.079622161787,0.208283405
88,3885.075744712759,0.217101953
89,4120.912804549248,0.215242185
90,4119.11804784572,0.204343182
91,4139.165739660786,0.20983685
92,3942.944050186926,0.207371056
93,4134.735425726504,0.207671086
94,4025.9792533838727,0.193089036
95,4009.67534186519,0.212130915
96,4210.6749388529215,0.216567961
97,4013.9644356705808,0.207838823
98,3997.5670575969248,0.221753528
99,4114.888382306285,0.204012329
100,4092.603682782993,0.21205168
101,4092.134066549743,0.193850162
102,4092.330021661582,0.214456536
103,3900.9138733400964,0.206120889
104,4066.8315473199086,0.199230864
105,3987.1732723643654,0.19913671
106,4016.793936664756,0.222062246
107,3892.30599234353,0.213570074
108,3934.8704150354706,0.201964232
109,3917.906657461335,0.216627226
110,4046.0705904180213,0.232803286
111,3969.7738813642113,0.194869078
112,3978.7543889631174,0.204180413
113,3923.2649564464527,0.198384245
114,3907.6339689003166,0.216995246
115,4120.4273768016255,0.208767202
116,4040.5891718699145,0.238136526
117,3913.7053313776946,0.229159927
118,3884.4855280007964,0.201446774
119,3939.5431655405782,0.207346968
120,3966.769916121633,0.226596191
121,3989.5109849182872,0.21733584
122,3891.370890753094,0.208943319
123,3804.670343185912,0.217922357
124,3954.8237621356197,0.224149927
125,4016.166648311046,0.214742958
126,3929.1022024419326,0.220029865
127,3911.2876618677055,0.212430763
128,3915.931510281166,0.207271566
129,3877.23799495795,0.219562083
130,3935.607858222734,0.198921103
131,3942.8930968947693,0.208197599
132,3977.1742270874984,0.197135586
133,3962.2896763794793,0.215967082
134,3988.7760363190628,0.209285676
135,3716.765937430561,0.205329166
136,3921.167729007516,0.205384335
137,3936.206428790658,0.214040909
138,3890.4853715374093,0.222737637
139,3931.193351717862,0.200143726
140,3964.754080054273,0.215553346

