SAMPLE,MIMIC SCORE, MIMIC TRAINING TIME
120,3682.442398,4.354899901
130,3715.443579,3.164032091
140,3761.417218,3.97657531
150,3772.106474,3.639932393
160,3855.923033,2.593774715
170,3812.670469,2.585229766
180,3832.985653,2.699068982
190,3856.046919,2.786606593
200,3890.302229,2.727108766
210,3930.418725,2.775712917
220,3952.610563,2.820591279
230,3835.643782,2.865418002
240,3919.564516,2.820079413
250,3899.940102,2.9518197
260,3924.722297,3.118870169
270,3909.527413,2.957542524
280,3890.972388,2.996579872
290,3946.095252,3.064267628
300,3934.030134,3.023253383
310,3876.201205,3.091823235
320,3933.929177,3.247151027
330,3934.619325,3.284195207
340,3930.901855,3.360998519
350,3950.064119,3.26745318
360,3933.548235,3.424403137
370,3923.865087,3.750287791
380,3933.395988,3.657964869
390,3955.927121,3.55090523
400,3957.278817,3.602775961
410,3943.207336,3.870473776
