RHC SCORE, RHC TRAINING TIME, SA SCORE, SA TRAINING TIME, GA SCORE, GA TRAINING TIME, MIMIC SCORE, MIMIC TRAINING TIME
45.0,0.015306402,44.0,0.005315249,39.0,0.053718337,42.0,0.054054913
44.0,9.89483E-4,45.0,0.001044272,38.0,0.017053044,43.0,0.028419867
44.0,4.63061E-4,44.0,5.7921E-4,31.0,0.016335962,44.0,0.017571096
44.0,3.99584E-4,44.0,8.39517E-4,37.0,0.012951778,41.0,0.011751146
43.0,3.34078E-4,45.0,3.8788E-4,42.0,0.012298729,42.0,0.013237381
43.0,3.50555E-4,44.0,3.77131E-4,34.0,0.008456925,43.0,0.016489241
43.0,3.4687E-4,44.0,0.001065833,41.0,0.008824875,42.0,0.008044064
45.0,4.25561E-4,44.0,4.71921E-4,38.0,0.026255265,42.0,0.024518305
44.0,3.90915E-4,44.0,4.68648E-4,38.0,0.021066569,42.0,0.020327728
44.0,3.3112E-4,44.0,3.71035E-4,41.0,0.014116162,44.0,0.007950502
43.0,3.16587E-4,44.0,3.73272E-4,34.0,0.008109832,43.0,0.007283339
44.0,3.40072E-4,44.0,4.65663E-4,39.0,0.009804945,42.0,0.008490046
43.0,3.15907E-4,44.0,3.75397E-4,36.0,0.008589187,43.0,0.006950835
45.0,3.13052E-4,45.0,3.85464E-4,37.0,0.008294557,43.0,0.007437977
44.0,3.22953E-4,45.0,3.93373E-4,37.0,0.011516036,43.0,0.0073371
44.0,3.12368E-4,45.0,4.10606E-4,35.0,0.009500675,43.0,0.014175626
43.0,0.002314657,44.0,7.82141E-4,38.0,0.019890493,42.0,0.012201938
44.0,4.73897E-4,45.0,7.48928E-4,38.0,0.020707214,43.0,0.01112378
44.0,4.21314E-4,44.0,5.18162E-4,41.0,0.031665109,43.0,0.010060926
44.0,4.41802E-4,45.0,4.54283E-4,40.0,0.028898245,42.0,0.008566204
43.0,3.11385E-4,45.0,3.65922E-4,39.0,0.005961147,42.0,0.006960192
43.0,3.02337E-4,45.0,3.87672E-4,41.0,0.006052395,43.0,0.006956214
43.0,3.03442E-4,44.0,3.57008E-4,39.0,0.007405251,42.0,0.006960731
44.0,3.20518E-4,44.0,3.81819E-4,33.0,0.010005837,42.0,0.010158157
44.0,3.61933E-4,44.0,4.02789E-4,42.0,0.008416997,43.0,0.009921634
45.0,2.084E-4,44.0,3.60806E-4,37.0,0.0046722,43.0,0.007370203
44.0,3.85346E-4,44.0,6.92169E-4,39.0,0.01310202,43.0,0.006751105
43.0,5.08619E-4,43.0,0.001356654,41.0,0.008152971,43.0,0.010988085
44.0,3.44846E-4,44.0,3.56297E-4,37.0,0.006138341,41.0,0.017517143
45.0,2.8308E-4,45.0,3.46249E-4,39.0,0.011819007,41.0,0.00863283

FINAL RESULTS
RHC BEST SCORE, RHC AVG SCORE, RHC AVG TIME, RHC WIN PERCENTAGE, SA BEST SCORE, SA AVG SCORE, SA AVG TIME,  SA WIN PERCENTAGE, GA BEST SCORE, GA AVG SCORE, GA AVG TIME, GA WIN PERCENTAGE, MIMIC BEST SCORE, MIMIC AVG SCORE, MIMIC AVG TIME, MIMIC WIN PERCENTAGE
45.0,43.833333333333336,6.94512333333333E-4,10.0,45.0,44.3,9.413381333333336E-4,90.0,42.0,38.03333333333333,0.014326003499999998,0.0,44.0,42.5,0.012940276933333335,0.0
WINNER: ,SA
