TOMATE, GA SCORE, GA TRAINING TIME
20,26.0,0.127514987
22,41.0,0.033925359
24,42.0,0.01982042
26,42.0,0.024306426
28,34.0,0.040534966
30,42.0,0.029707114
32,42.0,0.022230919
34,37.0,0.032726523
36,42.0,0.061923465
38,41.0,0.052987508
40,41.0,0.034309863
42,43.0,0.032494037
44,42.0,0.028779397
46,41.0,0.033852163
48,41.0,0.030354097
50,41.0,0.044662603
52,42.0,0.03292276
54,42.0,0.038086355
56,42.0,0.046147041
58,41.0,0.042520136
60,41.0,0.045974671
62,41.0,0.048779972
64,41.0,0.036566204
66,42.0,0.036777696
68,43.0,0.037680416
70,41.0,0.035056094
72,42.0,0.037842988
74,41.0,0.036525925
76,42.0,0.033521008
78,42.0,0.033268033
80,43.0,0.034031818
82,42.0,0.03644168
84,42.0,0.041951655
86,42.0,0.03119143
88,42.0,0.033705698
90,42.0,0.031283717
92,42.0,0.032726749
94,42.0,0.039445501
96,42.0,0.037992664
98,41.0,0.038996241
100,41.0,0.038120123
102,42.0,0.040111778
104,43.0,0.041474789
106,42.0,0.038061459
108,43.0,0.040202595
110,43.0,0.044008857
112,42.0,0.043677468
114,42.0,0.044806515
116,42.0,0.044459368
118,45.0,0.045886594
120,42.0,0.04641849
122,42.0,0.049751922
124,41.0,0.047478695
126,43.0,0.051744588
128,43.0,0.05014497
130,43.0,0.045659714
132,42.0,0.067375579
134,42.0,0.060182118
136,42.0,0.051021843
138,42.0,0.044666473
140,43.0,0.042521881
142,43.0,0.038595419
144,43.0,0.046710355
146,43.0,0.052302574
148,43.0,0.042961815
150,42.0,0.05076511
152,42.0,0.060457973
154,42.0,0.325186829
156,42.0,0.116847166
158,42.0,0.088815533
160,43.0,0.107791279
162,43.0,0.09089175
164,42.0,0.069530083
166,42.0,0.095159325
168,42.0,0.043356082
170,41.0,0.111126494
172,43.0,0.090487959
174,43.0,0.07270431
176,42.0,0.070066045
178,42.0,0.054726456
180,42.0,0.081655996
182,42.0,0.088587147
184,42.0,0.103718124
186,42.0,0.11320596
188,42.0,0.116590685
190,42.0,0.120947064
192,42.0,0.100397557
194,42.0,0.067538343
196,43.0,0.061933328
198,42.0,0.070808495
200,43.0,0.068231126
202,42.0,0.076786391
204,42.0,0.10940739
206,42.0,0.077725446
208,44.0,0.088384348
210,42.0,0.062979245
212,42.0,0.055615097
214,41.0,0.078159692
216,42.0,0.08949336
218,42.0,0.089570262
