SAMPLE, MIMIC SCORE,MIMIC TRAINING TIME
120,43,0.061740338
130,42,0.042603354
140,43,0.014762514
150,42,0.013226758
160,42,0.008328975
170,41,0.007537744
180,42,0.00733167
190,42,0.010653308
200,43,0.011659253
210,43,0.023372561
220,42,0.00816719
230,43,0.009787332
240,42,0.009004681
250,42,0.009214008
260,42,0.019817915
270,43,0.008984886
280,43,0.010066242
290,43,0.011528884
300,44,0.013252844
310,42,0.01413172
320,43,0.022683845
330,43,0.026928522
340,42,0.019635254
350,42,0.011959028
360,43,0.013673765
370,42,0.012340977
380,42,0.011511909
390,43,0.012807021
400,42,0.012952839
410,43,0.016443472
420,42,0.01442935
430,42,0.012983151
440,43,0.016692049
450,44,0.023051585
460,44,0.034928242
470,43,0.021868126
480,43,0.037235485
490,44,0.02821395
500,42,0.045262035
510,42,0.030073382
520,42,0.026793921
530,42,0.01894789
540,44,0.018907085
550,43,0.013362146
560,42,0.027590024
570,43,0.017675439
580,42,0.016674849
590,42,0.016283263
600,42,0.014879832
610,43,0.015270147
620,42,0.013771938
630,42,0.014729531
640,43,0.014973697
650,44,0.015616168
660,43,0.015356624
670,43,0.01639866
680,42,0.027483762
690,42,0.118442539
700,43,0.033693018
710,44,0.084884418
720,43,0.062967369
730,44,0.086593467
740,44,0.056982014
750,42,0.01547016
760,43,0.01896221
770,43,0.050546663
780,43,0.034212041
790,44,0.035920756
800,43,0.019026221
810,43,0.036583604
820,43,0.043110487
830,43,0.021584275
840,44,0.021756551
850,43,0.024379255
860,43,0.021831295
870,43,0.022261003
880,43,0.024796016
890,42,0.023304692
900,43,0.018632346
910,42,0.018027565
920,42,0.022628439
930,43,0.015680141
940,44,0.01647975
950,43,0.018500475
960,43,0.020901249
970,42,0.021462644
980,43,0.033982092
990,43,0.056536295
1000,43,0.099854463
1010,43,0.033418162
1020,42,0.026548784
1030,44,0.032476162
1040,43,0.026639614
1050,43,0.022589154
1060,44,0.020793707
1070,43,0.027992944
1080,43,0.031214971
1090,42,0.036846059
1100,43,0.044560279
1110,44,0.053955048
