RHC SCORE, RHC TRAINING TIME, SA SCORE, SA TRAINING TIME, GA SCORE, GA TRAINING TIME, MIMIC SCORE, MIMIC TRAINING TIME
44,0.009957892,45,0.004852264,42,0.15391689,43,0.043807569
44,6.11E-04,45,8.23E-04,41,0.122932971,43,0.019356455
44,3.90E-04,45,4.57E-04,41,0.078262035,43,0.014064875
43,3.79E-04,45,9.36E-04,41,0.069943019,43,0.018996619
44,6.18E-04,43,5.38E-04,42,0.103314186,43,0.023259349
44,3.30E-04,43,6.30E-04,42,0.081882861,43,0.019094447
43,3.45E-04,44,5.06E-04,41,0.072971488,43,0.014340935
44,3.28E-04,44,3.73E-04,43,0.07844981,43,0.019333813
43,3.23E-04,45,3.98E-04,42,0.080033945,43,0.025002177
44,3.28E-04,45,3.72E-04,42,0.094826248,42,0.121741
44,4.74E-04,45,7.04E-04,42,0.098000261,44,0.015795619
44,0.007928952,44,4.83E-04,42,0.148098879,42,0.010653352
44,3.33E-04,45,3.66E-04,41,0.064208484,43,0.010557637
44,3.21E-04,44,3.75E-04,41,0.055140497,44,0.006668857
44,4.62E-04,44,4.30E-04,42,0.066424114,42,0.017787859
44,3.21E-04,44,8.33E-04,42,0.15830944,43,0.010582811
44,3.24E-04,45,4.23E-04,42,0.07998988,42,0.007991683
44,2.83E-04,43,3.46E-04,41,0.06444975,43,0.015718083
43,4.27E-04,45,6.98E-04,42,0.055281801,43,0.012730027
44,3.28E-04,44,4.26E-04,43,0.062993792,42,0.010241046
44,2.76E-04,44,3.88E-04,41,0.057088526,44,0.009672923
44,3.43E-04,44,3.77E-04,41,0.115027293,43,0.014777131
44,4.87E-04,45,6.20E-04,40,0.093635038,44,0.02324106
44,0.001036453,44,0.002936991,42,0.094185544,42,0.013447199
44,4.34E-04,44,4.61E-04,41,0.154360805,42,0.028904928
44,4.23E-04,44,4.61E-04,42,0.073723207,44,0.017878054
44,5.03E-04,45,5.98E-04,41,0.09533717,43,0.01173124
44,3.73E-04,44,2.34E-04,43,0.055291792,42,0.014120905
45,1.87E-04,44,2.28E-04,41,0.057701571,44,0.012069234
43,2.15E-04,44,4.17E-04,41,0.070209486,43,0.012442213
44,0.001921658,43,0.001108188,41,0.100278954,43,0.022632008
44,5.98E-04,44,5.79E-04,41,0.098348697,42,0.021099231
43,2.85E-04,43,3.55E-04,42,0.046099408,43,0.007470197
44,1.89E-04,44,3.29E-04,43,0.042905234,43,0.006703151
44,5.96E-04,44,8.12E-04,42,0.054754214,42,0.01308849
44,3.43E-04,44,8.97E-04,42,0.05149753,43,0.009093364
43,2.89E-04,44,3.07E-04,41,0.055904365,43,0.013530105
44,4.22E-04,45,6.23E-04,41,0.056107406,42,0.008996883
44,2.45E-04,44,3.18E-04,41,0.052884795,43,0.009848353
44,2.53E-04,43,2.77E-04,42,0.055837999,42,0.00870124
45,3.85E-04,44,4.27E-04,42,0.056076165,43,0.009338175
45,2.01E-04,44,6.01E-04,42,0.05360408,43,0.008544759
44,2.17E-04,44,3.47E-04,43,0.059353774,43,0.008113228
