COOLING RATE, SA SCORE, SA TRAINING TIME
0.05,3322.687084,0.415569149
0.06,3153.57251,0.370555824
0.07,3062.948729,0.329712283
0.08,3199.695545,0.368511263
0.09,3452.883146,0.32772951
0.1,3279.675153,0.365294454
0.11,3221.05624,0.356700509
0.12,3389.17248,0.335194934
0.13,3230.514794,0.365472059
0.14,3242.387935,0.32356672
0.15,3439.254713,0.339280492
0.16,3232.113858,0.318368919
0.17,3243.113301,0.321102059
0.18,3181.43955,0.310649704
0.19,3297.796175,0.316163953
0.2,3527.666011,0.343436136
0.21,3255.607737,0.309430687
0.22,3477.869907,0.330580161
0.23,3354.039278,0.366794124
0.24,3255.040941,0.339971766
0.25,3165.568827,0.3176703
0.26,3367.069859,0.313558353
0.27,3402.1217,0.311547542
0.28,3347.40349,0.312591219
0.29,3308.485306,0.315686037
0.3,3362.215067,0.308785968
0.31,3397.747752,0.31311116
0.32,3393.408026,0.314989732
0.33,3413.576434,0.311225468
0.34,3245.357703,0.3130964
0.35,3160.37561,0.312265022
0.36,3373.478532,0.313287193
0.37,3182.244559,0.312925712
0.38,3098.570196,0.310948441
0.39,3343.612471,0.315281429
0.4,3333.707118,0.2997947
0.41,3212.148464,0.265066445
0.42,3125.838988,0.271679495
0.43,3441.564803,0.25838786
0.44,3283.571125,0.280532944
0.45,3370.751651,0.259333815
0.46,2854.911875,0.268031651
0.47,3244.810217,0.270443882
0.48,3535.805757,0.248608617
0.49,3214.025721,0.27995374
0.5,3313.561954,0.281338185
0.51,3613.78828,0.251938883
0.52,3239.789782,0.243088456
0.53,3343.594098,0.24780074
0.54,3403.951738,0.236684809
0.55,3351.252114,0.240943135
0.56,3512.114697,0.251051594
0.57,3435.942313,0.254263669
0.58,3455.405448,0.235128926
0.59,3431.21991,0.247063539
0.6,3374.316026,0.260559988
0.61,3204.87522,0.243282466
0.62,3244.540412,0.264757019
0.63,3319.131494,0.232870565
0.64,3237.324098,0.251096965
0.65,3234.720431,0.253748632
0.66,3251.807395,0.24790231
0.67,3301.996982,0.240435654
0.68,3240.692527,0.24402135
0.69,3226.636165,0.263351202
0.7,3401.805003,0.24211225
0.71,3331.095675,0.247661528
0.72,3371.879841,0.24485457
0.73,3455.610128,0.249483091
0.74,3157.561599,0.255608841
0.75,3443.060643,0.249739167
0.76,3250.634662,0.239182243
0.77,3246.158095,0.234013657
0.78,3257.498844,0.248176979
0.79,3300.489035,0.236291035
0.8,3256.421478,0.247657961
0.81,3365.093851,0.247880952
0.82,3285.39239,0.254451137
0.83,3344.481507,0.246174228
0.84,3303.01463,0.238648077
0.85,3312.240669,0.2479873
0.86,3276.732676,0.242742206
0.87,3187.484808,0.24500424
0.88,3227.59089,0.238572173
0.89,3340.311767,0.23649323
0.9,3000.172262,0.236176424
0.91,3508.483823,0.238306377
0.92,3226.328269,0.262554505
0.93,3471.35047,0.234276322
0.94,3444.404919,0.242396171
0.95,3316.841932,0.237885857
0.96,3493.973739,0.260962618
0.97,3644.715752,0.241212798
0.98,3450.349582,0.228461804
0.99,3773.656007,0.193007343
